Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
1123,05/30/2025,2348,Minneapolis / St Paul (MSP/KMSP),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),228,23:22:00,00:03:00,00:41:00,Delta Air Lines (DL/DAL),Airbus A220-300 (BCS3),N329DU,26A
1122,05/30/2025,1303,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Minneapolis / St Paul (MSP/KMSP),528,20:01:00,20:16:00,01:15:00,Delta Air Lines (DL/DAL),Airbus A350-900 (A359),N511DN,50J
1121,05/30/2025,3919,Kalamazoo / Battle Creek (AZO/KAZO),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),113,18:16:00,18:41:00,00:25:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N831SK,16A
1120,05/30/2025,5866,Chicago / O'Hare (ORD/KORD),Kalamazoo / Battle Creek (AZO/KAZO),122,10:19:00,11:49:00,00:30:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N688AE,7A
1119,05/30/2025,3720,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,05:08:00,05:43:00,00:35:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N794JH,13C
1118,05/10/2025,1234,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Milwaukee / Gen Mitchell (MKE/KMKE),854,21:28:00,23:20:00,01:52:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N658AW,16A
1117,05/10/2025,2244,Nashville / Nashville (BNA/KBNA),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),631,17:33:00,19:00:00,01:27:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N917NN,21E
1116,05/10/2025,5499,Washington / Washington National (DCA/KDCA),Nashville / Nashville (BNA/KBNA),561,13:25:00,13:58:00,01:33:00,PSA Airlines (OH/JIA),Bombardier CRJ-700 (CRJ7),N516AE,18F
1115,05/10/2025,5646,Milwaukee / Gen Mitchell (MKE/KMKE),Washington / Washington National (DCA/KDCA),634,06:33:00,09:00:00,01:27:00,PSA Airlines (OH/JIA),Bombardier CRJ-700 (CRJ7),N524AE,12A
1114,06/12/2024,3071,Kirksville / Kirksville Municipal Airport (IRK/KIRK),Chicago / O'Hare (ORD/KORD),275,15:48:00,16:52:00,01:04:00,Corporate Flight Management (LF/VTE),Bombardier CRJ-200 (CRJ2),N874AS,8A
1113,06/12/2024,3068,Chicago / O'Hare (ORD/KORD),Kirksville / Kirksville Municipal Airport (IRK/KIRK),275,10:12:00,10:58:00,00:46:00,Corporate Flight Management (LF/VTE),Bombardier CRJ-200 (CRJ2),N874AS,8A
1112,06/01/2024,5326,Charlotte / Douglas (CLT/KCLT),Milwaukee / Gen Mitchell (MKE/KMKE),651,17:32:00,18:03:00,01:31:00,PSA Airlines (OH/JIA),Bombardier CRJ-900 (CRJ9),N566NN,16F
1111,06/01/2024,1535,Cleveland / Hopkins (CLE/KCLE),Charlotte / Douglas (CLT/KCLT),431,14:07:00,15:14:00,01:07:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N982NN,12D
1110,06/01/2024,3910,Chicago / O'Hare (ORD/KORD),Cleveland / Hopkins (CLE/KCLE),316,07:35:00,09:23:00,00:48:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N771JV,19A
1109,06/01/2024,6159,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,05:15:00,05:37:00,00:22:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N471ZW,10B
1108,11/23/2023,1396,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,14:05:00,14:33:00,00:28:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N412UA,27A
1107,11/23/2023,5451,Lexington / Blue Grass (LEX/KLEX),Chicago / O'Hare (ORD/KORD),324,12:01:00,12:00:00,00:59:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N161SY,12A
1106,11/23/2023,4708,Chicago / O'Hare (ORD/KORD),Lexington / Blue Grass (LEX/KLEX),324,08:06:00,09:59:00,00:53:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N103SY,17D
1105,11/23/2023,691,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,06:44:00,07:15:00,00:31:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N436UA,27F
1104,09/16/2023,6207,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,15:30:00,15:48:00,00:18:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N426AW,7D
1103,09/16/2023,6205,Waterloo / Waterloo Regional (ALO/KALO),Chicago / O'Hare (ORD/KORD),233,11:33:00,12:20:00,00:47:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N413AW,6D
1102,09/16/2023,6233,Chicago / O'Hare (ORD/KORD),Waterloo / Waterloo Regional (ALO/KALO),233,09:55:00,10:35:00,00:40:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N413AW,2D
1101,09/16/2023,6144,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,08:33:00,08:58:00,00:25:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N451AW,12D
1100,08/09/2023,4760,Chicago / O'Hare (ORD/KORD),Appleton / Outagamie (ATW/KATW),161,09:28:00,10:03:00,00:35:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N969SW,6B
1099,08/09/2023,5957,Appleton / Outagamie (ATW/KATW),Chicago / O'Hare (ORD/KORD),161,06:23:00,07:00:00,00:37:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N139SY,16A
