
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2004-06-15,5309,"Akron/Canton / Akron/Canton (CAK/KCAK)","Chicago / O'Hare (ORD/KORD)",08:23:00,08:22:00,00:59:00,"Air Wisconsin (ZW/AWI)","Bombardier CRJ-200 (CRJ2)",,13B,3,1,2,,3621,2205,98,529
2004-06-15,5216,"Chicago / O'Hare (ORD/KORD)","Akron/Canton / Akron/Canton (CAK/KCAK)",20:09:00,20:01:00,00:52:00,"Air Wisconsin (ZW/AWI)","Bombardier CRJ-200 (CRJ2)",,9B,3,1,2,,2205,3621,98,529
2004-08-20,1545,"Chicago / Chicago Midway (MDW/KMDW)","Cleveland / Hopkins (CLE/KCLE)",14:03:00,15:54:00,00:51:00,"Southwest Airlines (WN/SWA)","Boeing 737-700 (B737)",N718SW,,0,1,1,,1785,568,736,230
2004-08-22,313,"Cleveland / Hopkins (CLE/KCLE)","Chicago / Chicago Midway (MDW/KMDW)",17:25:00,17:19:00,00:54:00,"Southwest Airlines (WN/SWA)","Boeing 737-700 (B737)",N765SW,,0,1,1,,568,1785,736,230
2004-10-25,612,"Chicago / O'Hare (ORD/KORD)","Washington / Washington National (DCA/KDCA)",12:12:00,14:37:00,01:25:00,"United Airlines (UA/UAL)","Boeing 757-200 (B752)",N576UA,11A,1,4,2,,2205,682,808,241
2004-10-27,611,"Washington / Washington National (DCA/KDCA)","Chicago / O'Hare (ORD/KORD)",11:24:00,12:19:00,01:55:00,"United Airlines (UA/UAL)","Boeing 737-300 (B733)",N333UA,12D,3,1,2,,682,2205,808,226
2004-11-14,616,"Chicago / O'Hare (ORD/KORD)","Washington / Washington National (DCA/KDCA)",14:23:00,16:52:00,01:29:00,"United Airlines (UA/UAL)","Airbus A319-100 (A319)",N852UA,10A,1,4,2,,2205,682,808,2073
2004-11-19,609,"Washington / Washington National (DCA/KDCA)","Chicago / O'Hare (ORD/KORD)",10:32:00,11:10:00,01:38:00,"United Airlines (UA/UAL)","Boeing 757-200 (B752)",N569UA,12F,1,4,2,,682,2205,808,241
2004-12-05,616,"Chicago / O'Hare (ORD/KORD)","Washington / Washington National (DCA/KDCA)",14:18:00,16:32:00,01:14:00,"United Airlines (UA/UAL)","Airbus A320-200 (A320)",N451UA,8F,1,4,2,,2205,682,808,2059
2004-12-18,609,"Washington / Washington National (DCA/KDCA)","Chicago / O'Hare (ORD/KORD)",10:22:00,10:58:00,01:36:00,"United Airlines (UA/UAL)","Boeing 757-200 (B752)",N514UA,11F,1,4,2,,682,2205,808,241
2004-12-31,1881,"Chicago / O'Hare (ORD/KORD)","Cincinnati / Northern Kentucky Int (CVG/KCVG)",06:18:00,08:01:00,00:43:00,"Delta Air Lines (DL/DAL)","Boeing 737-200 (B732)",N243WA,16D,3,1,1,,2205,646,223,225
2005-01-02,886,"Cincinnati / Northern Kentucky Int (CVG/KCVG)","Chicago / O'Hare (ORD/KORD)",21:23:00,21:06:00,00:43:00,"Delta Air Lines (DL/DAL)","McDonnell Douglas MD-88 (MD88)",N952DL,17E,1,1,1,,646,2205,223,1189
2004-12-31,5283,"Cincinnati / Northern Kentucky Int (CVG/KCVG)","Akron/Canton / Akron/Canton (CAK/KCAK)",09:20:00,09:54:00,00:34:00,"Comair (OH/COM)","Bombardier CRJ-700 (CRJ7)",N367CA,4C,3,1,1,,646,3621,197,530
2005-01-02,5292,"Akron/Canton / Akron/Canton (CAK/KCAK)","Cincinnati / Northern Kentucky Int (CVG/KCVG)",18:25:00,19:05:00,00:40:00,"Comair (OH/COM)","Bombardier CRJ-700 (CRJ7)",N371CA,4D,1,1,1,,3621,646,197,530
2005-05-14,5672,"Chicago / O'Hare (ORD/KORD)","Cincinnati / Northern Kentucky Int (CVG/KCVG)",06:15:00,08:12:00,00:57:00,"Comair (OH/COM)","Bombardier CRJ-100 (CRJ1)",N796CA,3D,1,1,1,,2205,646,197,528
2005-05-16,5400,"Cincinnati / Northern Kentucky Int (CVG/KCVG)","Chicago / O'Hare (ORD/KORD)",18:09:00,17:52:00,00:43:00,"Comair (OH/COM)","Bombardier CRJ-100 (CRJ1)",N807CA,3A,1,1,1,,646,2205,197,528
2005-05-14,5140,"Cincinnati / Northern Kentucky Int (CVG/KCVG)","Akron/Canton / Akron/Canton (CAK/KCAK)",12:13:00,12:46:00,00:33:00,"Comair (OH/COM)","Bombardier CRJ-700 (CRJ7)",N398CA,2A,1,1,1,,646,3621,197,530
2005-05-16,5289,"Akron/Canton / Akron/Canton (CAK/KCAK)","Cincinnati / Northern Kentucky Int (CVG/KCVG)",16:13:00,16:50:00,00:37:00,"Comair (OH/COM)","Bombardier CRJ-700 (CRJ7)",N376CA,5A,1,1,1,,3621,646,197,530
2015-01-23,4934,"Charlotte / Douglas (CLT/KCLT)","Florence / Florence Regl (FLO/KFLO)",11:47:00,12:20:00,00:33:00,"Piedmont Airlines (US/PDT)","Bombardier Dash 8-300 (DH8C)",N331EN,12A,1,1,1,,575,894,600,609
2015-01-24,5620,"Myrtle Beach / Myrtle Beach (MYR/KMYR)","Charlotte / Douglas (CLT/KCLT)",16:35:00,17:06:00,00:31:00,"Mesa Airlines (YV/ASH)","Bombardier CRJ-900 (CRJ9)",N329MS,7F,1,1,1,,1992,575,81,531
2014-06-19,3601,"Washington / Dulles (IAD/KIAD)","Charlottesville / Albemarle (CHO/KCHO)",12:50:00,13:10:00,00:20:00,"CommutAir (C5/UCA)","Bombardier Dash 8-200 (DH8B)",N364PH,22D,1,1,2,,1202,4859,810,608
2014-06-19,3331,"Philadelphia / Philadelphia (PHL/KPHL)","Washington / Dulles (IAD/KIAD)",11:12:00,11:44:00,00:32:00,"Trans States Airlines (AX/LOF)","Embraer ERJ-145 (E145)",N842HK,4A,1,1,2,,2311,1202,482,653
2014-06-21,3019,"Richmond / Richmond Byrd Fld (RIC/KRIC)","Chicago / O'Hare (ORD/KORD)",11:18:00,11:53:00,01:35:00,"Envoy Air (MQ/ENY)","Embraer ERJ-140 (E140)",N847AE,3A,1,1,2,,2519,2205,1773,2030
2014-03-14,23,"Chicago / O'Hare (ORD/KORD)","Seattle / Seattle-Tacoma (SEA/KSEA)",08:09:00,10:18:00,04:09:00,"Alaska Airlines (AS/ASA)","Boeing 737-900 (B739)",N440AS,10A,1,1,1,,2205,2627,79,232
