number,date,from iata code,to iata code,distance,dep time,arr time,duration,aircraft
1,07/15/2025,ORD,MSP,334,06:07,07:06,00:59,B712
2,07/15/2025,ORD,MSP,334,08:46,09:50,01:04,A223
3,07/15/2025,ORD,MSP,334,16:32,17:27,00:55,A319
4,07/15/2025,DTW,MKE,237,18:10,17:55,00:45,CRJ9
5,07/15/2025,MKE,DTW,237,18:50,20:36,00:46,CRJ9
6,07/15/2025,MKE,DFW,853,11:26,13:29,02:03,B738
7,07/15/2025,DFW,MKE,853,08:01,10:04,02:03,B738
8,07/15/2025,ORD,SEA,1721,07:37,09:27,03:50,B738
9,07/15/2025,SEA,ORD,1721,12:13,17:52,03:39,B739
10,07/15/2025,MDW,MEM,480,09:21,10:32,01:11,B738
11,07/15/2025,DEN,GEG,836,11:27,12:22,01:55,B738
12,07/15/2025,LAX,EWR,2454,16:48,12:38,04:50,B752
13,07/15/2025,ORD,MCO,1005,06:54,10:11,02:07,A321
14,07/15/2025,MDW,SFO,1855,13:05,15:13,04:08,B737
15,07/15/2025,MEM,DAL,423,11:30,12:31,01:01,B738
16,07/15/2025,ORD,ALB,723,09:16,11:47,01:31,B738
17,07/15/2025,EWR,PWM,284,22:47,23:32,00:45,B739
18,07/15/2025,ATL,ABQ,1269,09:14,09:56,02:42,B739
19,07/15/2025,ABQ,ATL,1269,11:19,15:52,02:33,B739
20,07/15/2025,AUS,MSY,444,21:19,20:21,01:02,B38M
